Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
DPZ,Domino&#39;s Pizza Inc,383.13,$15.1B,2004,Consumer Non-Durables,Food Distributors,https://old.nasdaq.com/symbol/dpz,
UFS,Domtar Corporation,31.38,$1.73B,n/a,Basic Industries,Paper,https://old.nasdaq.com/symbol/ufs,
DCI,"Donaldson Company, Inc.",54.86,$6.93B,n/a,Capital Goods,Pollution Control Equipment,https://old.nasdaq.com/symbol/dci,
DSL,DoubleLine Income Solutions Fund,16.97,$1.73B,2013,n/a,n/a,https://old.nasdaq.com/symbol/dsl,
DEI,"Douglas Emmett, Inc.",33.3,$5.84B,2006,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dei,
DOV,Dover Corporation,126.34,$18.21B,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/dov,
DOW,Dow Inc.,57.73,$42.82B,2019,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/dow,
RDY,Dr. Reddy&#39;s Laboratories Ltd,65.53,$10.87B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/rdy,
DRQ,"Dril-Quip, Inc.",31.71,$1.11B,1997,Energy,Metal Fabrications,https://old.nasdaq.com/symbol/drq,
DTE,DTE Energy Company,131.71,$25.49B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/dte,
DNP,"Duff & Phelps Utilities Income, Inc.",10.58,$3.21B,1987,n/a,n/a,https://old.nasdaq.com/symbol/dnp,
DUK,Duke Energy Corporation,96.26,$70.84B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/duk,
DRE,Duke Realty Corporation,37.98,$14.13B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dre,
DNB,"Dun & Bradstreet Holdings, Inc.",26.72,$11.3B,2020,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/dnb,
DD,"DuPont de Nemours, Inc.",65.84,$48.32B,2017,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/dd,
DXC,DXC Technology Company,23.67,$6.02B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/dxc,
DY,"Dycom Industries, Inc.",65.71,$2.09B,n/a,Basic Industries,Water Supply,https://old.nasdaq.com/symbol/dy,
DT,"Dynatrace, Inc.",36.37,$10.26B,2019,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/dt,
ELF,"e.l.f. Beauty, Inc.",22.27,$1.14B,2016,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/elf,
EXP,Eagle Materials Inc,96.28,$4.03B,n/a,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/exp,
